ObjectID,pland,v,tcog,luc,yearbuilt,muni,lotarea,X,Y
526197,2.05611811084486,15.6914276880266,36,10,1999,929,12937,-80.2111575035685,40.3873475976383
526198,2.03893839597055,17.3430840759396,32,10,1999,929,20648,-80.2164135976,40.4259182218
526201,1.98767786416312,13.7963913745049,36,10,1999,929,13634,-80.211155550982,40.3873502468116
526203,5.8159509202454,23.4846625766871,29,60,2000,929,4075,-80.2200458669,40.4411447099
526205,0.736706120596348,4.44816870919311,32,10,1999,929,28641,-80.2549362434,40.4392289456
526208,1.7040857605178,14.0068770226537,32,10,2000,929,19776,-80.2162379379415,40.4259867606848
526209,2.00395145357042,11.478031799793,32,10,1999,929,21258,-80.2162783365,40.4256629751
526210,2.09889001009082,14.5055499495459,32,10,1999,929,19820,-80.2160833542,40.4257390532
526211,2.17485863418878,18.51046348654,32,10,1999,929,20691,-80.2165014275033,40.4258839523512
526212,1.46324234320601,9.61198849588778,36,10,1999,929,19819,-80.2111594561549,40.387344948465
526213,2.10355987055016,15.6603964401294,32,10,2000,929,19776,-80.2231722684628,40.4232531158208
526215,1.01727042965459,7.83066554338669,32,10,1999,929,47480,-80.2199078948715,40.4224145789197
526216,2.17279566375403,13.363861501799,32,10,2000,929,21401,-80.2208526074926,40.4219539719276
526218,2.08656492369277,14.5058794095572,32,10,2000,929,19985,-80.2157394868,40.4262193792
526219,5.67449058550426,23.7296879030178,29,60,2000,929,3877,-80.2200883152,40.441416965
526222,3.68192636147277,19.9216015679686,29,60,2000,929,7143,-80.2204229745,40.4411050132
526223,0.968369829683698,11.0705596107056,29,10,1999,929,20550,-80.2193206951921,40.4557259785451
526225,2.73579491103884,13.200688731586,29,60,2000,929,10454,-80.2200929141,40.4414164809
526226,3.23539907220174,13.9883430474605,29,60,2000,929,8407,-80.2200412681,40.441145194
526227,22.964509394572,135.17745302714,29,60,2000,929,958,-80.2204723211,40.4413765421
526229,6.97469099470277,31.1653914067098,29,60,2000,929,3398,-80.2204252739,40.4411047711
526230,3.72106234909814,15.1256923732424,29,60,2000,929,7041,-80.2204700216,40.4413767842
526231,1.05813670639747,7.12721965458526,36,10,2000,929,32888,-80.2096926049868,40.389685421071
526232,1.33247712313373,8.70926312409697,36,10,2000,929,24916,-80.2094485111126,40.3894837907117
526233,1.085149756939,7.2570174063039,36,10,2000,929,31885,-80.2096792525105,40.3896893262952
526281,0.687031854818439,2.66434304673492,34,10,1999,935,59677,-79.9994373167731,40.6211028970258
526447,1.03655913978495,8.35698924731183,30,10,1995,935,23250,-80.0652969443912,40.6281661572748
526671,0.814814814814815,8.37777777777778,30,10,2001,935,27000,-80.0589466025916,40.6230044948908
526682,1.35599038791624,9.1743906625472,42,10,1999,935,23304,-80.0177930862591,40.6511118075779
526725,1.06179655977915,11.5417286047993,31,10,1999,935,18836,-80.0704158160481,40.6301759461569
526967,0.300878866543646,1.50376880492916,30,10,2000,935,159865,-80.0394687469,40.6234554303
527133,0.214586051906626,0.722778019428737,30,10,1999,935,413820,-80.0515631915202,40.6383153949737
527224,1.43201155883769,7.84556108524643,30,10,1998,935,62290,-80.0406964062,40.6340909541
527575,0.357426433723784,1.96584538548081,30,10,1999,935,416869,-80.028026510223,40.6201393155869
527614,1.05917568501036,7.99562514390974,33,10,2000,935,34744,-80.0475453514146,40.6585280239199
527693,8.19722650231125,53.9291217257319,42,10,1996,935,6490,-80.0240108898967,40.6709228702193
527701,2.75039387801035,12.0639207742516,34,10,1995,935,22215,-80.0153179636743,40.6331690862051
527705,7.26747999475272,49.8491407582317,42,60,1996,935,7623,-80.0236131292775,40.6708323827643
527743,9.71876793571839,75.0717428735412,42,60,1996,935,5227,-80.0237607576706,40.6707250166602
527747,2.63123273253519,14.1428759373767,30,10,1999,935,15202,-80.0598901775688,40.6272344951737
527759,4.48471926083866,20.8244491826581,42,10,1999,935,14070,-80.0244970512737,40.6708163174267
527776,1.00578468252435,7.38711913718448,18,10,1995,935,87991,-79.9708634071,40.4818078825
527784,7.66197183098592,43.6619718309859,42,10,1999,935,7100,-80.024016964493,40.670619319154
527787,5.57529379611916,34.3809784094015,42,10,1996,935,10977,-80.0237889311239,40.6710842947814
527811,0.862010758254372,4.63640251175981,33,10,1997,935,44431,-80.069606853457,40.6728446338772
527822,5.83997694745942,28.9021227547786,42,10,1999,935,10411,-80.0243165366311,40.6705666669556
527834,3.38613406795225,19.4157483930211,34,10,1995,935,17424,-80.0163392026847,40.6321576453233
527840,2.9495433448121,15.8007685781305,34,10,1995,935,20037,-80.0159825238834,40.6322615229531
527850,1.64079822616408,8.45642162715333,42,10,1995,935,29315,-80.0297945767148,40.6666346342874
527852,2.34790775331316,16.3727433997704,42,10,1996,935,19166,-80.02512733269,40.6650512191959
527855,1.42632429215203,9.2020236374458,42,10,1996,935,47044,-80.0207693435629,40.6653550700759
527856,1.58281378377072,7.65791890193804,42,10,1995,935,41382,-80.0210775465396,40.6654105833406
527858,2.0001257940751,14.3845524875778,42,10,1996,935,31798,-80.0209716124198,40.6651056329495
527860,1.5633608815427,7.79384756657484,34,10,1995,935,87120,-80.0207908093956,40.6244756888435
527871,2.57931158443426,15.8578233126629,42,10,1995,935,22254,-80.0270970392794,40.6720991435507
527874,3.44977353105417,15.9334863808401,34,10,1999,935,16117,-80.0159373848625,40.6319615675425
527879,2.54535728614095,14.0618731333304,34,10,1995,935,44866,-80.0167803388,40.6286248716
527881,2.66116941529235,14.0835832083958,42,10,1995,935,21344,-80.0188969941099,40.6652293326181
527884,3.25987144168962,15.3581267217631,34,10,1995,935,17424,-80.0130890936104,40.6328452836753
527887,2.48891919536311,13.7231503579952,42,10,1995,935,17598,-80.0314027851264,40.6662840105821
527888,2.55080350310348,13.1791514327013,34,10,1995,935,23522,-80.0158596010586,40.6350149425978
527889,3.81564034756328,27.956176803929,33,10,1996,935,13235,-80.0571695443,40.655304002
527893,3.39264077546075,20.2920732096167,33,10,1996,935,15681,-80.057847426,40.655772373
527896,4.1318829580909,26.1320516063749,33,10,1995,935,11859,-80.0571118639,40.6556244669
527897,2.8289003056513,14.1314950900696,30,10,1995,935,15377,-80.0594753278172,40.6434901840306
527900,2.64029525882464,15.6146493801457,33,10,1995,935,21134,-80.0574280854,40.6554676229
527902,2.62167125803489,15.0137741046832,42,10,1996,935,21780,-80.0349976758,40.6712173145
527906,8.29298766203342,38.731844447915,42,60,1996,935,6403,-80.0245270961926,40.670703584312
527907,7.42741390952059,34.4361917623228,42,10,1996,935,7405,-80.0248865227996,40.6706749256846
527908,8.50444624090542,61.034761519806,42,60,1996,935,6185,-80.0238632615036,40.6710302363234
527909,6.27869727709557,31.7672183662573,42,10,1996,935,9365,-80.0236864272909,40.6707790751182
527910,2.47427939801037,17.7791004166312,42,10,1995,935,23522,-80.0193122252932,40.6653754350066
527912,1.5633608815427,14.691230486685,8,10,1996,935,87120,-80.0126915615,40.4360984405
527914,2.18959131960237,12.1629523747645,30,10,1996,935,46173,-80.0309080331545,40.632192637805
527916,1.68897766912137,8.65507885871024,30,10,1995,935,67082,-80.030877656641,40.6313201807372
527917,0.886996723466975,3.22722597474207,30,10,1997,935,188614,-80.0308998184784,40.6309652276567
527919,2.76488496281879,18.4159305285222,33,10,1995,935,20037,-80.0567643169,40.6554045175
527920,3.67847411444142,23.841961852861,33,10,1996,935,13946,-80.0569380904,40.6555144922
527923,2.50557523284796,15.9604705059251,34,10,1996,935,45738,-80.0159117346939,40.62338294437
527926,2.06476408537084,10.8839643470439,30,10,1995,935,24458,-80.0454265012,40.6413907182
527928,2.80885643622659,12.6663526086444,30,10,1995,935,16982,-80.0457186398458,40.6388578785308
527935,1.76317303462046,9.51301228467968,30,10,1995,935,29549,-80.0454265012,40.6413907182
527936,2.93766119393596,15.8394665660187,30,10,1995,935,15897,-80.0501706821025,40.6423996597502
527940,2.93646556326749,12.0395088093967,33,10,2000,935,18730,-80.0580729416,40.6557581
527941,8.04321728691477,39.4807923169268,42,60,1996,935,6664,-80.0242162147988,40.6705842993197
527942,2.32665877387142,12.1531888608637,42,10,1995,935,19427,-80.0312209867066,40.6665877360399
527943,2.2564152983974,11.9457280503392,42,10,1995,935,20342,-80.0275509028708,40.666366818776
527946,2.34852043212776,11.2728980742132,30,10,1996,935,17032,-80.0604222948511,40.6431130376044
527951,2.68520804191009,15.3926328204284,30,10,1995,935,36459,-80.0309303579902,40.632367353262
527952,1.41816996305151,7.23619865246685,30,10,1995,935,73616,-80.0308552277935,40.6316794103608
527999,0.968078903896609,3.83830531532407,34,10,1995,935,82328,-79.9980063248708,40.6208282372363
528070,1.38506274869911,6.46464646464646,30,10,1997,935,65340,-80.0404070068624,40.6344122160649
528104,2.25360014961661,10.5199177108659,30,10,1997,935,21388,-80.0600896636654,40.6276169589058
528191,2.36294896030246,13.5869565217391,30,10,1999,935,16928,-80.0498094331038,40.6421089134789
528230,1.59528935695572,10.8479676272989,30,10,1999,935,38551,-80.0668008250598,40.6160781041135
528281,2.50331395941674,10.6556541246049,30,10,1999,935,19614,-80.0449225077545,40.6391383917802
528331,1.5977799268385,10.2005634276584,30,10,1998,935,23783,-80.0506370486083,40.6408403637629
528385,0.675204249285409,6.75204249285409,33,10,1995,935,44431,-80.0470705549912,40.6587526289665
528398,1.56879150760864,13.2353710191915,34,10,1997,935,38246,-80.0083264562002,40.6344884526057
528405,1.06124132242766,4.03326689119527,34,10,1999,935,72745,-80.0131619339707,40.6323598685324
528426,1.6723116003387,11.8120237087214,34,10,1998,935,23620,-80.0083314207456,40.6371714750306
528449,1.45762793266575,11.7979012078861,34,10,1998,935,41643,-80.0086795648381,40.6344243403284
528454,2.16500671046126,11.7998163452709,42,10,1996,935,28314,-80.0262486017555,40.6727383650411
528498,1.86905301314001,10.447817550219,30,10,1995,935,26484,-80.0591861113965,40.6262638558591
528502,2.86493208341305,15.1329634589631,34,10,1995,935,20908,-80.0163158001058,40.6321063792776
528519,6.44338471775535,30.4979483198403,42,60,1996,935,9017,-80.0248838907597,40.6706559360893
528521,6.80377854836781,38.9931842640201,42,60,1996,935,8363,-80.0236442257628,40.6718109317921
